hydrogen, 2.431 x 1010
helium 2.343 x 109
oxygen 1.413 x 107
carbon 7.079 x 106
neon 2.148 x 106
nitrogen 1.950 x 106
magnesium 1.020 x 106
silicon 1.000 x 106
iron 8.380 x 105
sulfer 4.449 x 105
argon 1.025 x 105
aluminum 8.410 x 104
calcium 6.287 x 104
sodium 5.751 x 104
nickel 4.780 x 104
Cr 1.29 x 104
Mn 9.17 x 103
P 8.37 x 103
Cl 5.24 x 103
K 3.70 x 103
Ti 2.42 x 103
Co 2.32 x 103
